filename,width,height,class,xmin,ymin,xmax,ymax
001.jpg,995,509,no_hat,276,185,334,272
003.jpg,913,441,no_hat,523,152,588,244
004.jpg,1004,451,no_hat,526,142,598,260
005.jpg,863,452,no_hat,238,28,275,89
005.jpg,863,452,no_hat,812,138,850,206
006.jpg,781,403,no_hat,114,193,177,301
007.jpg,900,452,no_hat,353,86,387,140
011.jpg,819,440,no_hat,608,97,690,231
011.jpg,819,440,no_hat,100,256,202,408
016.jpg,542,419,no_hat,149,92,191,171
020.jpg,727,453,no_hat,333,26,375,133
020.jpg,727,453,no_hat,485,89,536,202
021.jpg,635,513,no_hat,287,1,333,65
022.jpg,763,502,no_hat,333,32,412,179
023.jpg,955,480,no_hat,232,110,328,269
026.jpg,819,428,no_hat,380,98,459,222
026.jpg,819,428,no_hat,173,278,286,428
027.jpg,718,474,no_hat,50,110,113,202
028.jpg,669,590,no_hat,311,121,374,253
029.jpg,688,440,no_hat,177,296,248,391
030.jpg,548,363,no_hat,360,125,410,213
031.jpg,625,459,no_hat,73,81,138,193
031.jpg,625,459,no_hat,305,1,358,54
032.jpg,629,457,no_hat,261,1,298,68
032.jpg,629,457,no_hat,414,38,466,129
033.jpg,748,565,no_hat,439,167,501,298
033.jpg,748,565,no_hat,84,9,137,76
033.jpg,748,565,no_hat,436,3,469,47
033.jpg,748,565,no_hat,332,1,363,38
034.jpg,667,497,no_hat,516,105,589,238
035.jpg,637,484,no_hat,264,36,318,102
041.jpg,684,438,no_hat,437,35,475,90
042.jpg,743,491,no_hat,663,74,698,141
042.jpg,743,491,no_hat,211,16,255,79
042.jpg,743,491,no_hat,323,5,360,41
045.jpg,761,421,no_hat,504,75,542,133
049.jpg,717,422,no_hat,109,1,195,61
051.jpg,715,476,no_hat,173,130,244,254
051.jpg,715,476,no_hat,356,259,449,383
051.jpg,715,476,no_hat,360,387,505,472
052.jpg,653,484,no_hat,207,6,439,127
055.jpg,686,370,no_hat,273,105,367,250
056.jpg,705,469,no_hat,250,61,394,245
057.jpg,980,507,no_hat,346,25,535,343
057.jpg,980,507,no_hat,654,87,827,413
058.jpg,761,442,no_hat,198,101,311,233
059.jpg,763,481,no_hat,252,192,392,326
059.jpg,763,481,no_hat,249,86,302,164
059.jpg,763,481,no_hat,222,52,263,125
062.jpg,686,479,no_hat,211,107,261,202
063.jpg,735,489,no_hat,208,93,272,200
065.jpg,718,499,no_hat,358,120,385,168
075.jpg,650,498,no_hat,309,69,331,104
076.jpg,650,498,no_hat,311,66,332,104
079.jpg,1039,547,no_hat,868,234,968,383
079.jpg,1039,547,no_hat,742,377,949,516
083.jpg,1020,457,no_hat,673,93,710,152
083.jpg,1020,457,no_hat,626,79,657,138
086.jpg,989,515,no_hat,479,211,599,405
086.jpg,989,515,no_hat,42,58,82,133
089.jpg,893,522,no_hat,456,6,500,57
089.jpg,893,522,no_hat,434,1,475,41
099.jpg,846,541,no_hat,665,61,729,153
100.jpg,880,456,no_hat,689,62,739,155
100.jpg,880,456,no_hat,520,10,553,57
100.jpg,880,456,no_hat,497,3,530,47
100.jpg,880,456,no_hat,288,3,338,42
101.jpg,910,547,no_hat,147,130,225,250
101.jpg,910,547,no_hat,505,11,551,79
102.jpg,923,456,no_hat,99,98,154,183
102.jpg,923,456,no_hat,786,16,831,97
103.jpg,882,527,no_hat,406,325,506,476
103.jpg,882,527,no_hat,306,7,342,50
104.jpg,916,480,no_hat,529,82,576,156
105.jpg,982,535,no_hat,145,46,203,132
106.jpg,943,463,no_hat,142,47,190,142
106.jpg,943,463,no_hat,494,103,546,181
110.jpg,900,525,no_hat,385,234,476,376
111.jpg,833,505,no_hat,358,222,446,369
115.jpg,898,429,no_hat,389,144,454,226
115.jpg,898,429,no_hat,290,102,349,178
115.jpg,898,429,no_hat,233,113,282,185
117.jpg,919,523,no_hat,381,299,480,420
118.jpg,910,470,no_hat,175,185,261,294
118.jpg,910,470,no_hat,404,277,503,414
119.jpg,800,447,no_hat,135,135,231,254
120.jpg,754,505,no_hat,187,169,267,304
120.jpg,754,505,no_hat,398,284,492,455
120.jpg,754,505,no_hat,10,198,126,370
121.jpg,913,506,no_hat,286,1,355,81
122.jpg,897,492,no_hat,660,90,783,289
123.jpg,1002,498,no_hat,304,139,452,394
124.jpg,868,500,no_hat,436,84,522,213
124.jpg,868,500,no_hat,409,180,504,308
125.jpg,776,458,no_hat,401,42,483,142
126.jpg,974,462,no_hat,264,4,360,188
126.jpg,974,462,no_hat,500,8,696,120
127.jpg,797,539,no_hat,69,5,163,152
127.jpg,797,539,no_hat,11,9,83,134
129.jpg,969,479,no_hat,332,1,378,56
130.jpg,1016,460,no_hat,249,187,353,324
131.jpg,1033,496,no_hat,228,48,321,215
132.jpg,1042,525,no_hat,259,117,377,298
132.jpg,1042,525,no_hat,256,1,355,130
133.jpg,1032,549,no_hat,590,1,755,195
134.jpg,1047,538,no_hat,91,1,223,137
135.jpg,947,454,no_hat,299,42,387,224
136.jpg,1040,493,no_hat,278,234,415,461
136.jpg,1040,493,no_hat,17,252,194,493
137.jpg,811,448,no_hat,294,269,422,430
142.jpg,919,498,no_hat,814,111,859,194
143.jpg,1016,471,no_hat,289,124,353,216
143.jpg,1016,471,no_hat,843,138,903,221
144.jpg,995,459,no_hat,232,3,284,40
145.jpg,1034,512,no_hat,216,227,346,416
148.jpg,754,527,no_hat,479,51,514,110
148.jpg,754,527,no_hat,444,267,497,348
149.jpg,675,532,no_hat,362,65,412,140
149.jpg,675,532,no_hat,184,161,247,246
149.jpg,675,532,no_hat,377,260,452,350
153.jpg,1037,510,no_hat,28,34,81,102
153.jpg,1037,510,no_hat,882,137,954,260
154.jpg,589,507,no_hat,24,38,70,106
154.jpg,589,507,no_hat,121,298,224,451
157.jpg,997,473,no_hat,265,117,334,226
159.jpg,1000,516,no_hat,411,11,530,81
162.jpg,766,517,no_hat,612,151,686,271
164.jpg,1001,545,no_hat,762,145,817,222
164.jpg,1001,545,no_hat,917,147,965,207
164.jpg,1001,545,no_hat,177,137,242,241
165.jpg,755,339,no_hat,528,50,566,98
165.jpg,755,339,no_hat,211,6,239,45
166.jpg,940,440,no_hat,263,66,420,197
168.jpg,635,472,no_hat,454,239,512,324
168.jpg,635,472,no_hat,370,191,424,286
168.jpg,635,472,no_hat,290,163,348,244
171.jpg,980,494,no_hat,325,4,415,128
172.jpg,663,562,no_hat,268,241,324,337
172.jpg,663,562,no_hat,389,162,438,246
172.jpg,663,562,no_hat,379,260,454,368
172.jpg,663,562,no_hat,516,275,565,356
174.jpg,881,501,no_hat,612,62,693,181
174.jpg,881,501,no_hat,1,71,53,143
175.jpg,1011,543,no_hat,316,146,399,264
175.jpg,1011,543,no_hat,764,54,812,102
176.jpg,845,462,no_hat,321,50,408,170
177.jpg,764,456,no_hat,188,68,265,183
178.jpg,943,478,no_hat,379,129,544,342
179.jpg,745,432,no_hat,82,127,234,340
180.jpg,547,530,no_hat,342,119,387,186
181.jpg,831,548,no_hat,430,137,688,371
181.jpg,831,548,no_hat,486,64,684,174
181.jpg,831,548,no_hat,434,1,508,56
183.jpg,789,389,no_hat,316,161,421,293
184.jpg,971,530,no_hat,856,98,971,295
186.jpg,655,509,no_hat,523,153,616,321
187.jpg,702,542,no_hat,57,1,158,116
188.jpg,921,519,no_hat,399,1,535,140
189.jpg,666,510,no_hat,225,270,369,483
190.jpg,716,549,no_hat,308,1,411,74
190.jpg,716,549,no_hat,540,1,587,55
191.jpg,1028,514,no_hat,617,244,777,438
191.jpg,1028,514,no_hat,333,105,392,194
192.jpg,705,537,no_hat,291,290,448,473
196.jpg,866,489,no_hat,95,223,188,343
196.jpg,866,489,no_hat,506,53,600,144
197.jpg,737,531,no_hat,433,44,492,128
198.jpg,777,513,no_hat,243,1,280,48
198.jpg,777,513,no_hat,79,1,119,32
198.jpg,777,513,no_hat,483,34,517,78
198.jpg,777,513,no_hat,685,64,715,121
199.jpg,887,513,no_hat,116,145,183,220
199.jpg,887,513,no_hat,632,1,707,62
200.jpg,906,465,no_hat,286,58,378,200
200.jpg,906,465,no_hat,349,43,459,124
200.jpg,906,465,no_hat,507,154,635,336
201.jpg,968,504,no_hat,118,221,339,420
202.jpg,812,492,no_hat,112,187,206,313
205.jpg,818,506,no_hat,190,96,251,173
206.jpg,827,510,no_hat,541,45,586,118
206.jpg,827,510,no_hat,134,31,164,76
214.jpg,894,445,no_hat,326,1,415,130
215.jpg,765,485,no_hat,505,85,560,178
215.jpg,765,485,no_hat,456,73,498,152
215.jpg,765,485,no_hat,363,29,411,113
216.jpg,770,498,no_hat,321,52,372,147
216.jpg,770,498,no_hat,594,73,644,152
218.jpg,766,476,no_hat,444,51,507,157
219.jpg,800,488,no_hat,290,95,353,183
219.jpg,800,488,no_hat,559,247,687,375
219.jpg,800,488,no_hat,469,10,529,97
219.jpg,800,488,no_hat,488,50,550,164
222.jpg,800,402,no_hat,384,179,479,245
223.jpg,800,344,no_hat,324,59,392,142
224.jpg,765,459,no_hat,250,105,306,181
224.jpg,765,459,no_hat,282,86,322,150
224.jpg,765,459,no_hat,303,99,350,141
226.jpg,800,394,no_hat,148,154,213,254
227.jpg,800,397,no_hat,104,69,183,129
227.jpg,800,397,no_hat,135,31,193,75
227.jpg,800,397,no_hat,326,25,367,72
227.jpg,800,397,no_hat,612,122,679,212
227.jpg,800,397,no_hat,755,220,800,308
232.jpg,964,551,no_hat,472,19,524,77
234.jpg,965,587,no_hat,520,211,615,384
234.jpg,965,587,no_hat,389,2,444,78
235.jpg,967,592,no_hat,31,369,157,575
235.jpg,967,592,no_hat,647,24,684,98
235.jpg,967,592,no_hat,850,141,890,220
235.jpg,967,592,no_hat,718,114,778,157
236.jpg,964,594,no_hat,101,139,167,216
236.jpg,964,594,no_hat,273,38,319,108
237.jpg,962,589,no_hat,536,84,579,185
238.jpg,966,591,no_hat,726,176,770,267
238.jpg,966,591,no_hat,428,49,465,117
